geography_key,listing_id,neighbourhood_cleansed,latitude,longitude
1,27886,Centrum-West,52.38761,4.89188
2,28871,Centrum-West,52.36775,4.89092
3,29051,Centrum-Oost,52.36584,4.89111
4,49552,Centrum-West,52.38028,4.89089
5,50263,Centrum-Oost,52.36937805386749,4.929579192438728
6,50515,Bos en Lommer,52.37559,4.83857
7,50523,Centrum-West,52.36959,4.88423
8,97221,Slotervaart,52.34801,4.83639
9,137026,De Pijp - Rivierenbuurt,52.35178,4.90699
10,179528,De Pijp - Rivierenbuurt,52.34332,4.89484
11,188347,De Baarsjes - Oud-West,52.3683,4.85446
12,189754,Centrum-West,52.37548,4.89398
13,193038,Centrum-Oost,52.36057,4.89671
14,245927,Centrum-West,52.36897659301758,4.887128829956055
15,247805,De Baarsjes - Oud-West,52.36707,4.87348
16,254104,Centrum-Oost,52.36489868164063,4.90916919708252
17,255809,De Pijp - Rivierenbuurt,52.34416,4.88709
18,283170,Zuid,52.35435,4.87316
19,286500,Centrum-West,52.37561,4.9
20,290701,Centrum-West,52.37561,4.9
21,291752,Oud-Oost,52.35143,4.91272
22,304082,Centrum-West,52.37046,4.89712
23,306852,Centrum-Oost,52.35931,4.89844
24,307497,Westerpark,52.3933,4.88556
25,307621,Centrum-Oost,52.35871,4.89616
26,311124,Centrum-West,52.37104,4.87713
27,331946,De Baarsjes - Oud-West,52.3606,4.85739
28,343094,Oud-Oost,52.35715,4.90926
29,359298,Centrum-Oost,52.36217,4.91152
30,366438,Centrum-West,52.36902,4.89535
31,367107,Centrum-Oost,52.36301,4.90077
32,379885,De Pijp - Rivierenbuurt,52.35464776933696,4.906100814228655
33,410997,Westerpark,52.38002332455508,4.874433921704397
34,415619,Oostelijk Havengebied - Indische Buurt,52.36905,4.93528
35,431635,Bos en Lommer,52.37706,4.85671
36,440992,Zuid,52.341621,4.849049
37,441424,Oostelijk Havengebied - Indische Buurt,52.37386,4.9431
38,445660,De Baarsjes - Oud-West,52.37001,4.85646
39,450767,Centrum-Oost,52.37006,4.90081
40,496953,De Baarsjes - Oud-West,52.36385,4.87483
41,505012,Centrum-Oost,52.36412,4.88757
42,507598,Centrum-West,52.37694,4.88003
43,515088,Noord-Oost,52.39702,4.99645
44,515749,Centrum-Oost,52.35902,4.89606
45,515921,Zuid,52.35022,4.8525
46,517996,Centrum-West,52.37827,4.88568
47,528022,Westerpark,52.39142,4.88648
48,553514,Westerpark,52.38444,4.86916
49,556829,Buitenveldert - Zuidas,52.33558,4.86878
50,570753,Zuid,52.34904,4.86765
51,579851,Westerpark,52.3904,4.88421
52,582028,Slotervaart,52.36022,4.84346
53,588020,Centrum-Oost,52.36918,4.91316
54,590236,De Baarsjes - Oud-West,52.36809,4.85436
55,590681,Zuid,52.34788,4.8506
56,591951,Bijlmer-Oost,52.32582,4.98403
57,606871,Westerpark,52.37621,4.87075
58,608432,Centrum-West,52.381996,4.888583
59,613088,Noord-Oost,52.41016,4.96369
60,620056,Westerpark,52.3884,4.87148
61,627188,Centrum-West,52.381996,4.888583
62,654931,Centrum-West,52.37167,4.8948
63,655216,Centrum-West,52.37098,4.89434
64,660856,Watergraafsmeer,52.3551,4.93262
65,664697,Oud-Noord,52.38537,4.90241
66,683431,De Pijp - Rivierenbuurt,52.34557,4.8962
67,685990,Geuzenveld - Slotermeer,52.38296,4.83786
68,689623,Centrum-Oost,52.37174,4.92579
69,694850,Centrum-West,52.37276,4.89932
70,696113,IJburg - Zeeburgereiland,52.36158,4.97639
71,728144,Centrum-Oost,52.36112,4.89632
72,728145,De Pijp - Rivierenbuurt,52.35258865356445,4.894248962402344
73,729260,Centrum-West,52.38079,4.88536
74,729317,Centrum-Oost,52.36052,4.89568
75,741043,Westerpark,52.37654,4.87003
76,742160,Centrum-Oost,52.36719,4.92061
77,744659,Oud-Oost,52.35659,4.90827
78,754613,Centrum-Oost,52.37266,4.90456
79,755431,De Baarsjes - Oud-West,52.37066,4.87405
80,759299,De Baarsjes - Oud-West,52.36115,4.85209
81,768274,Westerpark,52.38855,4.88521
82,768737,Westerpark,52.37824,4.86826
83,771343,Centrum-West,52.37594,4.88387
84,771758,Slotervaart,52.34985,4.83578
85,775655,Centrum-Oost,52.37026,4.89931
86,794322,Centrum-Oost,52.36863707410021,4.899095646157325
87,800723,De Baarsjes - Oud-West,52.36884,4.86127
88,802052,Centrum-Oost,52.36476,4.90925
89,816940,Zuid,52.35323,4.85421
90,818881,Centrum-Oost,52.36123,4.89619
91,834233,Centrum-Oost,52.37272,4.90418
92,847093,De Baarsjes - Oud-West,52.3607,4.85991
93,851044,Zuid,52.33875,4.84852
94,862411,Centrum-West,52.38139,4.88541
95,865328,Zuid,52.35584,4.87401
96,868418,Noord-West,52.41197649999999,4.9079143
97,874076,Centrum-Oost,52.361362,4.890488
98,877702,Centrum-Oost,52.36136245727539,4.890488147735596
99,879986,De Pijp - Rivierenbuurt,52.3418,4.91066
100,884329,De Aker - Nieuw Sloten,52.343079,4.788886
101,890288,Zuid,52.35658,4.85359
102,895684,Westerpark,52.37342,4.8693
103,901789,De Baarsjes - Oud-West,52.36997595854369,4.856519718051397
104,906446,Buitenveldert - Zuidas,52.33229,4.87431
105,922489,Noord-West,52.41197649999999,4.9079143
106,931270,Zuid,52.34147,4.84983
107,933523,IJburg - Zeeburgereiland,52.356197,4.991435
108,934060,Oud-Noord,52.4016,4.89785
109,946142,Westerpark,52.37991,4.87414
110,947437,Osdorp,52.35595,4.79661
111,951483,Watergraafsmeer,52.35149,4.92265
112,954629,Bijlmer-Centrum,52.32019,4.95501
113,954633,Bijlmer-Centrum,52.32019,4.95501
114,957396,IJburg - Zeeburgereiland,52.36084550323894,4.980601130578248
115,963328,Centrum-West,52.36561,4.88492
116,964986,De Pijp - Rivierenbuurt,52.35531,4.90333
117,969862,Zuid,52.34122,4.84977
118,995087,Westerpark,52.381615,4.877059
119,1005026,Westerpark,52.37367,4.87394
120,1005695,Oud-Oost,52.35781,4.91027
121,1008006,Westerpark,52.37998,4.86959
122,1008223,Slotervaart,52.36369,4.83861
123,1018703,De Pijp - Rivierenbuurt,52.35099,4.886627
124,1020477,Centrum-West,52.37811,4.89196
125,1021538,Slotervaart,52.35166,4.83893
126,1025482,Oud-Noord,52.38355,4.90951
127,1038120,Centrum-West,52.38793182373047,4.884929180145264
128,1044448,Oud-Oost,52.36181,4.91856
129,1044452,Westerpark,52.38912,4.87907
130,1047746,Oud-Oost,52.36227,4.92893
131,1057494,Zuid,52.34746,4.87559
132,1068565,IJburg - Zeeburgereiland,52.36255,4.976
133,1071414,Oud-Oost,52.35764,4.9067
134,1086763,Centrum-Oost,52.36256,4.89809
135,1105128,Centrum-Oost,52.3735,4.90688
136,1105924,Watergraafsmeer,52.35381317138672,4.941221237182617
137,1116446,Bos en Lommer,52.37871,4.84688
138,1120077,Bos en Lommer,52.37784,4.86178
139,1132247,Westerpark,52.39018,4.88716
140,1145866,Bos en Lommer,52.37802,4.84513
141,1149289,Centrum-Oost,52.3702,4.92103
142,1149380,Bijlmer-Centrum,52.31774,4.94647
143,1155386,De Pijp - Rivierenbuurt,52.34227,4.91217
144,1158865,De Baarsjes - Oud-West,52.371,4.87158
145,1159534,Centrum-Oost,52.36207,4.88948
146,1162769,Oud-Oost,52.35823,4.92035
147,1174506,De Pijp - Rivierenbuurt,52.35043,4.90079
148,1195666,Centrum-West,52.36718,4.87849
149,1196088,Oud-Noord,52.38827,4.94617
150,1223171,De Baarsjes - Oud-West,52.367088,4.863511
151,1225622,De Baarsjes - Oud-West,52.35936,4.86001
152,1234387,Zuid,52.355133096636784,4.879653035660964
153,1236227,Centrum-Oost,52.36442,4.88121
154,1246242,Oud-Noord,52.39238,4.92899
155,1260229,Centrum-West,52.38481,4.89244
156,1262157,Zuid,52.35749,4.87699
157,1271700,De Baarsjes - Oud-West,52.36062,4.86901
158,1272352,Bos en Lommer,52.37537,4.86019
159,1303321,De Pijp - Rivierenbuurt,52.35433,4.89863
