host_key,host_id,host_name,host_since,host_is_superhost,host_identity_verified
1,97647,Flip,2010-03-23,t,t
2,124245,Edwin,2010-05-13,t,t
3,225987,Joanna & MP,2010-09-06,t,t
4,230246,Donald,2010-09-10,f,t
5,231864,Karin,2010-09-12,f,t
6,231946,Raymond,2010-09-12,t,t
7,195859,Gianni,2010-08-09,f,t
8,670266,Ton & Fede,2011-06-06,t,t
9,856540,Pierre,2011-07-23,t,t
10,907405,Yahav,2011-08-02,f,t
11,915591,Marijn,2011-08-03,t,t
12,935742,Johan,2011-08-07,t,t
13,1005087,Wytse,2011-08-22,,t
14,1298735,Carolien,2011-10-16,t,t
15,1334704,Claudia,2011-10-25,f,t
16,1344947,André Charles,2011-10-28,t,t
17,1451657,Marco,2011-11-28,f,t
18,1491565,David,2011-12-10,t,t
19,1511330,Ton,2011-12-16,t,t
20,276068,Mirre,2010-11-01,t,t
21,1141485,Gisèle And Simon,2011-09-11,f,t
22,1582128,Jorn,2012-01-08,t,t
23,1600010,Anke & Robert,2012-01-12,f,t
24,1687595,Sebastiaan,2012-02-02,f,t
25,1740785,Rob & Fang,2012-02-12,t,t
26,1817922,Fabrizio,2012-02-27,f,t
27,1849988,Nicolet,2012-03-03,t,t
28,1853421,Marijn,2012-03-04,f,t
29,1907015,Masha,2012-03-12,f,t
30,2046301,Nina,2012-04-01,f,t
31,1336633,Stephan,2011-10-26,f,t
32,1939922,Hannes,2012-03-17,f,t
33,2191136,Jan,2012-04-21,f,t
34,2193861,Marco,2012-04-22,f,t
35,2202945,Heleen,2012-04-23,t,f
36,2238440,Richard En Birgit,2012-04-27,t,t
37,2453971,Kim,2012-05-24,f,t
38,1645998,Djoke,2012-01-24,f,t
39,2501656,Stephanie,2012-05-30,f,t
40,2536879,Hansje,2012-06-03,f,t
41,2540480,Derk,2012-06-04,t,t
42,2541099,Anne-Marie,2012-06-04,f,t
43,2550339,Aemilia,2012-06-05,f,t
44,2594559,Els,2012-06-10,t,t
45,618589,Mirjam,2011-05-23,f,t
46,2737834,Sophia,2012-06-25,f,t
47,2439449,Henriette,2012-05-22,t,t
48,2851886,Sonja,2012-07-06,t,t
49,2865851,Oliver,2012-07-08,f,t
50,1759884,Ivan,2012-02-16,f,t
51,2912339,Kelli,2012-07-12,f,t
52,2914846,Lotte,2012-07-12,f,t
53,2580855,Martine,2012-06-08,f,t
54,3007402,Diewert,2012-07-21,t,t
55,3015785,Erik And Mary Jo,2012-07-22,t,t
56,3040748,Henk,2012-07-24,f,t
57,2782084,Marieke,2012-06-29,f,t
58,3278419,Matthijs,2012-08-16,t,t
59,3336575,Maaike,2012-08-22,f,t
60,1406783,Alicia,2011-11-14,f,t
61,2309485,Ned,2012-05-07,f,t
62,3498674,Nadia,2012-09-07,t,t
63,2272095,Katinka,2012-05-02,t,t
64,3556421,Mirjam,2012-09-13,t,t
65,3564543,Daniel,2012-09-14,f,t
66,3775786,Aren,2012-10-06,f,t
67,1902079,Martijn,2012-03-11,f,t
68,3788198,Martin,2012-10-07,f,t
69,3788673,Laurens En Petra,2012-10-07,t,t
70,3877342,Nicole,2012-10-15,t,t
71,3518386,Kristel,2012-09-09,t,t
72,3970753,Take & Eline,2012-10-25,t,t
73,3975477,Anna And Robert,2012-10-25,t,t
74,3548522,Susanne,2012-09-12,f,t
75,3678216,J & R,2012-09-26,f,t
76,2313061,Marcel,2012-05-07,t,t
77,4091515,Karin,2012-11-08,f,t
78,4184910,Lydia,2012-11-18,t,t
79,4215174,Hinde,2012-11-22,f,t
80,4221960,Peter,2012-11-23,t,t
81,4290554,Joyce,2012-11-30,f,t
82,4297337,Liesbeth,2012-12-01,f,t
83,4364462,Margot,2012-12-09,t,t
84,4663170,Brenda,2013-01-11,f,t
85,4443833,Nova Team,2012-12-19,f,t
86,4520552,Simone,2012-12-29,f,t
87,4543444,Trinette,2013-01-01,t,t
88,4574185,Scott,2013-01-03,t,t
89,4614541,Driss And Bettina,2013-01-07,t,t
90,3332206,Stef,2012-08-21,t,t
91,4684314,Frans,2013-01-13,f,t
92,4724613,Cindy,2013-01-16,t,t
93,4773348,Joep,2013-01-20,f,t
94,4817958,Bastian,2013-01-23,t,t
95,488009,Vivian,2011-04-06,t,t
96,4281750,Karin,2012-11-29,t,t
97,5033331,Dianne,2013-02-10,t,t
98,5037506,Olaf,2013-02-10,f,t
99,5102632,Madelinde,2013-02-16,t,t
100,5134833,Andre,2013-02-18,t,t
101,5162447,Roland,2013-02-20,f,t
102,5183517,Simone,2013-02-22,t,t
103,4794187,Diederik,2013-01-21,f,t
104,538659,Wendie,2011-04-27,t,t
105,2633774,Daniel,2012-06-14,f,t
106,5297940,Helga,2013-03-03,t,t
107,4415881,Vera,2012-12-16,t,t
108,5527871,Kyra,2013-03-19,f,t
109,5530981,Freek,2013-03-19,f,t
110,3523553,Doet,2012-09-10,t,t
111,4443157,Arne,2012-12-19,f,t
112,125667,Michèle,2010-05-16,f,t
113,5617295,Marc,2013-03-25,f,t
114,5622526,Jef & Mette,2013-03-25,f,t
115,5646154,Reinhart,2013-03-27,t,t
116,5714947,Jasper,2013-04-01,f,t
117,5750100,Saskia,2013-04-03,t,t
118,5750107,Jacob & Patricia,2013-04-03,f,t
119,2976877,Donate,2012-07-18,f,t
120,1899420,Rosie,2012-03-11,f,t
121,5878526,Petra,2013-04-11,f,t
122,5893654,Joke,2013-04-12,t,t
123,3899684,City Apartments,2012-10-17,t,t
124,6063077,Stijn,2013-04-23,t,t
125,6072512,Pascale,2013-04-24,f,t
126,6127483,Daniella,2013-04-28,t,t
127,6114964,Eveline,2013-04-27,f,t
128,6211092,Joost,2013-05-03,t,t
129,2480643,Emma,2012-05-28,f,t
130,6300541,Micha,2013-05-09,t,t
131,6299692,Mirjam,2013-05-09,f,t
132,6250938,Doruk,2013-05-06,f,t
133,506601,Joris,2011-04-13,f,t
134,6368949,Hans En Sietske,2013-05-13,f,t
135,6428213,Roel,2013-05-16,f,t
136,6534317,Willemijne,2013-05-23,f,t
137,6536417,Wanka,2013-05-23,t,t
138,6673715,Valeria,2013-05-31,t,t
139,6449836,Tamara,2013-05-18,f,t
140,2311301,Josette,2012-05-07,f,t
141,6739792,Sander,2013-06-04,t,t
142,6739095,Martine,2013-06-04,f,t
143,6863370,Lilian,2013-06-11,f,t
144,6873206,Marlous & Michiel,2013-06-12,f,t
145,2826060,Barbara,2012-07-04,f,t
146,6925102,Marcel,2013-06-15,t,t
147,246493,Dojo,2010-09-27,t,t
148,7126883,Richard,2013-06-26,f,t
149,7218607,Job En Suzanne,2013-07-01,f,t
150,4905127,Toetsie,2013-01-30,t,t
151,7371529,Ton,2013-07-09,t,t
152,7474002,Erica,2013-07-14,f,t
153,7547999,Taco,2013-07-17,f,t
154,7570689,Wilma,2013-07-18,t,t
155,1610324,Ayla & Jake,2012-01-15,t,t
156,7621004,Wouter,2013-07-21,f,t
157,7767867,Martijn & Betina,2013-07-28,t,t
158,7794998,Chee Yee,2013-07-29,f,t
159,6681879,Kalina,2013-06-01,f,t
160,4355186,Nanne,2012-12-08,f,t
161,6126617,Wendy,2013-04-28,f,t
162,3671340,Fleur,2012-09-25,f,t
163,8071702,Anne,2013-08-10,f,t
164,8136794,Yvonne,2013-08-13,t,t
165,4380449,Johan,2012-12-11,f,t
166,7179295,Hester,2013-06-29,f,t
167,8405599,Johan,2013-08-26,t,t
168,8534655,Ella,2013-08-30,t,t
169,8578849,Eva,2013-09-02,f,t
170,8664912,Janet,2013-09-06,f,t
171,8670477,C.,2013-09-06,f,t
172,1011032,Abel,2011-08-23,f,t
173,8873574,Jillis & Cristina,2013-09-16,f,t
174,6673155,Ellen,2013-05-31,t,t
175,9035487,Sjouke Julia,2013-09-24,f,t
176,9064219,Hans Govert,2013-09-26,f,t
177,9121131,Bastiaan,2013-09-29,f,t
178,9133729,Henk,2013-09-30,f,t
179,9136787,Cornelie,2013-09-30,f,t
180,9137400,Selcuk,2013-09-30,f,t
181,9137568,Edwin,2013-09-30,f,t
182,9282300,Dutch Masters,2013-10-07,t,t
183,2205770,Vibeke,2012-04-23,t,t
184,620111,Minou,2011-05-24,t,t
185,4976553,Ivo,2013-02-05,f,t
186,9412285,Ana,2013-10-14,t,t
187,9426449,Gabriel,2013-10-14,t,t
188,8691762,Mart,2013-09-07,t,t
189,4416629,Sarah,2012-12-16,f,t
190,9502480,Roel,2013-10-18,f,t
191,7234260,Miguel,2013-07-02,f,t
192,3347747,Nick,2012-08-23,f,t
193,7803724,Sten,2013-07-29,f,t
194,517541,Anna,2011-04-18,f,t
195,9846631,Jesse,2013-11-06,f,t
196,9874890,Eduard,2013-11-07,t,t
197,7679262,Marijke,2013-07-23,f,t
198,9920818,Hans,2013-11-10,t,t
199,8982547,Martine,2013-09-22,t,t
200,9948828,Ian,2013-11-11,f,t
201,9314105,Bauke,2013-10-08,f,t
202,9988208,Erik,2013-11-13,f,t
203,3632839,Ernestien,2012-09-21,f,t
204,3576012,Sheryl,2012-09-15,f,t
205,10117243,Bob,2013-11-19,f,t
206,4651226,Maarten,2013-01-10,f,t
207,10247431,Kiki,2013-11-25,f,t
208,7261788,Wilbert,2013-07-03,t,t
209,2740598,Florine,2012-06-25,f,t
