listing_id,host_id,room_type,price_clean,number_of_reviews,review_scores_rating
27886,97647,Private room,132.0,311,4.92
28871,124245,Private room,89.0,732,4.87
29051,124245,Private room,61.0,849,4.81
49552,225987,Entire home/apt,322.0,609,4.93
50263,230246,Entire home/apt,457.0,177,4.86
50515,231864,Entire home/apt,198.0,20,4.8
50523,231946,Entire home/apt,162.0,563,4.88
97221,195859,Private room,68.0,412,4.68
137026,670266,Entire home/apt,335.0,117,4.71
179528,856540,Entire home/apt,301.0,37,4.57
188347,907405,Private room,68.0,478,4.68
189754,915591,Entire home/apt,231.0,427,4.81
193038,935742,Private room,158.0,740,4.97
245927,1005087,Entire home/apt,635.0,274,4.88
247805,1298735,Private room,117.0,563,4.88
254104,1334704,Private room,185.0,86,4.92
255809,1344947,Private room,279.0,269,4.89
283170,1451657,Entire home/apt,1036.0,130,4.5
286500,1491565,Private room,184.0,413,4.92
290701,1491565,Private room,184.0,491,4.86
291752,1511330,Private room,141.0,283,4.88
304082,276068,Entire home/apt,185.0,381,4.78
306852,1141485,Entire home/apt,200.0,32,4.63
307497,1582128,Entire home/apt,948.0,103,4.86
307621,1141485,Entire home/apt,134.0,6,4.83
311124,1600010,Entire home/apt,325.0,100,4.79
331946,1687595,Entire home/apt,275.0,37,4.89
343094,1740785,Private room,104.0,586,4.9
359298,1817922,Entire home/apt,271.0,112,4.58
366438,1849988,Private room,147.0,565,4.78
367107,1853421,Entire home/apt,299.0,23,5.0
379885,1907015,Private room,228.0,94,4.66
410997,2046301,Entire home/apt,287.0,0,4.91
415619,1336633,Entire home/apt,124.0,92,4.89
431635,1939922,Entire home/apt,63.0,24,4.82
440992,2191136,Entire home/apt,170.0,141,4.88
441424,2193861,Entire home/apt,158.0,45,4.64
445660,2202945,Private room,60.0,592,4.82
450767,2238440,Entire home/apt,374.0,334,4.77
496953,2453971,Private room,250.0,28,4.86
505012,1645998,Entire home/apt,630.0,61,4.74
507598,2501656,Entire home/apt,500.0,62,4.74
515088,2536879,Entire home/apt,215.0,1,5.0
515749,2540480,Entire home/apt,210.0,325,4.9
515921,2541099,Entire home/apt,175.0,104,4.37
517996,2550339,Entire home/apt,350.0,31,4.87
528022,2594559,Private room,125.0,355,4.88
553514,618589,Entire home/apt,108.0,162,4.41
556829,2737834,Entire home/apt,126.0,28,4.62
570753,2439449,Private room,87.0,402,4.88
579851,2851886,Private room,152.0,640,4.97
582028,2865851,Entire home/apt,187.0,13,4.77
588020,1759884,Entire home/apt,360.0,391,4.57
590236,2912339,Entire home/apt,180.0,61,4.89
590681,2914846,Entire home/apt,280.0,29,4.93
591951,2580855,Entire home/apt,319.0,72,4.8
606871,3007402,Private room,164.0,629,4.8
608432,3015785,Private room,110.0,1002,4.78
613088,3040748,Private room,81.0,415,4.86
620056,2782084,Entire home/apt,212.0,34,4.97
627188,3015785,Private room,112.0,692,4.87
654931,3278419,Hotel room,178.0,1036,4.89
655216,3278419,Hotel room,166.0,949,4.91
660856,3336575,Entire home/apt,395.0,44,4.84
664697,1406783,Entire home/apt,87.0,62,4.33
683431,2309485,Private room,115.0,774,4.7
685990,3498674,Private room,77.0,439,4.82
689623,2272095,Entire home/apt,162.0,98,4.76
694850,3556421,Private room,90.0,774,4.83
696113,3564543,Entire home/apt,233.0,27,4.81
728144,3775786,Entire home/apt,463.0,151,4.9
728145,1902079,Entire home/apt,225.0,70,4.99
729260,3788198,Entire home/apt,184.0,108,4.71
729317,3788673,Private room,147.0,218,4.7
741043,3877342,Entire home/apt,590.0,92,4.85
742160,1582128,Entire home/apt,948.0,152,4.81
744659,3518386,Entire home/apt,125.0,363,4.94
